PLAYER,FNAME,LNAME,PNAME,POS1,POS2,HEIGHT,WEIGHT,YOB,FORTY,BENCH,VERTICAL,BROAD,SHUTTLE,CONE,DPOS,COL,DV,START,CTEAM
DL-0500,Dwayne,Ledford,D.Ledford,OL,,76,300,1976,,,,,,,0,East Carolina,Conference USA (C-USA),2000,
DL-0600,Donald,Lee,D.Lee,TE,,75,248,1980,4.82,26,39,120,4.42,7.42,156,Mississippi State,Southeastern (SEC),2003,
DL-0700,Dan,LeFevour,D.LeFevour,QB,,75,230,1987,4.6,,29.5,110,4.22,6.93,0,Central Michigan,Mid-American (MAC),2011,
DL-0800,Doug,Legursky,D.Legursky,OL,,73,315,1986,5.22,36,,,,,0,Marshall,Conference USA (C-USA),2009,BUF
DL-0900,Devin,Lemons,D.Lemons,LB,,74,232,1979,,,,,,,0,Texas Tech,Big 12,2004,
DL-1000,Dwayne,Levels,D.Levels,LB,,74,248,1979,4.85,,,,,,0,Oklahoma State,Big 12,2003,
DL-1100,Dorsey,Levens,D.Levens,RB,,73,230,1970,,,,,,,149,Georgia Tech,Atlantic Coast (ACC),1994,
DL-1200,DeAndre,Levy,D.Levy,LB,,74,238,1987,4.56,19,,119,,,76,Wisconsin,Big Ten,2009,DET
DL-1300,D.D.,Lewis,D.Lewis,LB,,73,241,1979,4.7,24,33.5,114,,,0,Texas,Big 12,2002,
DL-1400,Damione,Lewis,D.Lewis,DL,,74,301,1978,4.9,22,,,,,12,Miami (FL),Big East,2001,
DL-1500,Darryll,Lewis,D.Lewis,DB,,69,188,1968,,,,,,,38,Arizona,Pacific 10,1991,
DL-1600,Derrick,Lewis,D.Lewis,WR,,74,185,1975,,,,,,,0,San Diego State,Mountain West (MWC),2002,
DL-1700,Dion,Lewis,D.Lewis,RB,,67,193,1990,4.56,17,34.5,112,4.18,6.9,149,Pittsburgh,Big East,2011,CLE
DL-1800,Derek,Lokey,D.Lokey,DL,,73,287,1985,5.18,38,33.5,112,4.37,7.57,0,Texas,Big 12,2008,
DL-1900,Dane,Looker,D.Looker,WR,,72,194,1976,4.74,,,,,,0,Washington,Pacific 10,2002,
