PLAYER,FNAME,LNAME,PNAME,POS1,POS2,HEIGHT,WEIGHT,YOB,FORTY,BENCH,VERTICAL,BROAD,SHUTTLE,CONE,DPOS,COL,DV,START,CTEAM
JI-0100,Juaquin,Iglesias,J.Iglesias,WR,,72,204,1987,4.44,,34.5,116,4.4,,99,Oklahoma,Big 12,2009,
JI-0200,James,Ihedigbo,J.Ihedigbo,DB,,73,202,1983,,,,,,,0,Massachusetts,Colonial Athletic (CAA),2008,BAL
JI-0300,Jack,Ikegwuonu,J.Ikegwuonu,DB,,71,194,1986,,,,,,,131,Wisconsin,Big Ten,2009,
JI-0400,Jake,Ingram,J.Ingram,OL,,75,232,1985,,,,,,,198,Hawaii,Western Athletic,2009,
JI-0500,Johnathan,Ingram,J.Ingram,OL,,74,300,1980,,,,,,,0,San Diego State,Mountain West (MWC),2005,
JI-0600,Junior,Ioane,J.Ioane,DL,,76,320,1977,,,,,,,107,Arizona State,Pacific 10,2001,
JI-0700,Jasen,Isom,J.Isom,RB,,72,243,1977,,,,,,,0,Cincinnati,Conference USA (C-USA),2003,
JI-0800,Jabari,Issa,J.Issa,DL,,77,302,1978,5.05,19,31.5,105,4.72,7.69,176,Washington,Pacific 10,2000,
JJ-0100,Jamaal,Jackson,J.Jackson,OL,,76,330,1980,,,,,,,0,Delaware State,Mid-Eastern Athletic (MEAC),2005,
JJ-0200,James,Jackson,J.Jackson,RB,,70,215,1976,4.55,,35,,,,65,Miami (FL),Big East,2001,
JJ-0300,Jarious,Jackson,J.Jackson,QB,,72,228,1977,4.68,,,109,,,214,Notre Dame,FBS Independents,2000,
JJ-0350,Jerrell,Jackson,J.Jackson,WR,,72,190,1990,4.5,22,41,127,4.11,6.82,0,Missouri,Big 12,2012,
JJ-0400,John,Jackson,J.Jackson,OL,,78,297,1965,,,,,,,252,Eastern Kentucky,Ohio Valley,1988,
JJ-0500,Jonathan,Jackson,J.Jackson,LB,,74,248,1977,,,,,,,0,Oregon State,Pacific 10,2001,
JJ-0600,Javarris,James,J.James,RB,,72,208,1987,4.58,21,36,115,,,0,Miami (FL),Atlantic Coast (ACC),2010,
JJ-0700,Jeno,James,J.James,OL,,75,310,1977,5.62,24,25.5,94,5.22,8.51,182,Auburn,Southeastern (SEC),2000,
JJ-0750,Jawan,Jamison,J.Jamison,RB,,67,203,1991,4.62,20,29,110,4.62,7.47,228,Rutgers,Big East,2013,WAS
JJ-0800,J.J.,Jansen,J.Jansen,OL,,74,256,1986,,,,,,,0,Notre Dame,FBS Independents,2009,CAR
JJ-0900,Jon,Jansen,J.Jansen,OL,,78,305,1976,5.3,22,27,100,4.61,7.62,37,Michigan,Big Ten,1999,
JJ-1000,Jeremy,Jarmon,J.Jarmon,DL,,75,278,1987,,,,,,,0,Kentucky,Southeastern (SEC),2009,
JJ-1100,Jaiquawn,Jarrett,J.Jarrett,DB,,72,198,1989,4.62,14,30,113,4.14,6.95,54,Temple,Mid-American (MAC),2011,NYJ
JJ-1200,Jason,Jefferson,J.Jefferson,DL,,73,310,1981,5.1,,28.5,102,4.48,7.8,193,Wisconsin,Big Ten,2005,
JJ-1300,Joseph,Jefferson,J.Jefferson,DB,,73,202,1980,4.39,8,39.5,121,4.01,6.84,74,Western Kentucky,Missouri Valley,2002,
JJ-1400,J.R.,Jenkins,J.Jenkins,K,,73,195,1979,,,,,,,0,Marshall,Mid-American (MAC),2002,
JJ-1500,James,Jenkins,J.Jenkins,TE,,74,243,1967,,,,,,,0,Rutgers,FBS Independents,1991,
JJ-1550,Janoris,Jenkins,J.Jenkins,DB,,70,193,1988,4.41,,33.5,121,4.13,6.95,39,North Alabama,,2012,STL
JJ-1600,Jarvis,Jenkins,J.Jenkins,DL,,76,310,1988,5.03,17,26.5,98,4.83,7.42,41,Clemson,Atlantic Coast (ACC),2011,WAS
JJ-1620,Jelani,Jenkins,J.Jenkins,LB,,72,243,1992,4.65,27,35.5,111,4.28,6.97,104,Florida,Southeastern (SEC),2013,MIA
JJ-1650,John,Jenkins,J.Jenkins,DL,,76,346,1989,5.2,30,24.5,100,4.94,7.8,82,Georgia,Southeastern (SEC),2013,NO
JJ-1700,Julian,Jenkins,J.Jenkins,DL,,76,270,1983,5.03,25,34.5,110,4.24,7.11,156,Stanford,Pacific 10,2006,
JJ-1800,Justin,Jenkins,J.Jenkins,WR,,72,207,1980,,,,,,,0,Mississippi State,Southeastern (SEC),2007,
JJ-1900,Jonas,Jennings,J.Jennings,OL,,75,325,1977,5.31,31,29.5,107,4.93,8.5,95,Georgia,Southeastern (SEC),2001,
JJ-2000,Jerrel,Jernigan,J.Jernigan,WR,,69,189,1989,4.46,11,37.5,117,4.25,7.07,83,Troy,Sun Belt,2011,NYG
JJ-2100,John,Jerry,J.Jerry,OL,,77,345,1986,5.15,,27.5,101,4.69,7.93,0,Mississippi,Southeastern (SEC),2010,MIA
JJ-2200,James,Jett,J.Jett,WR,,70,165,1970,,,,,,,0,West Virginia,Big East,1993,
JJ-2300,John,Jett,J.Jett,K,,79,225,1918,,,,,,,55,East Carolina,FBS Independents,1993,
JJ-2400,J.J.,Johnson,J.Johnson,RB,,73,230,1974,4.71,16,,,4.19,7.3,39,Mississippi State,Southeastern (SEC),1999,
JJ-2500,J.R.,Johnson,J.Johnson,LB,,72,240,1979,,,,,,,0,Toledo,Mid-American (MAC),2002,
JJ-2600,James,Johnson,J.Johnson,RB,,71,202,1984,,,,,,,0,Kansas State,Big 12,2008,
JJ-2650,James-Michael,Johnson,J.Johnson,LB,,73,240,1989,4.6,23,37,124,4.37,7.34,120,Nevada,Western Athletic,2012,KC
JJ-2700,Jarret,Johnson,J.Johnson,DL,LB,75,260,1981,5.07,21,28.5,107,4.58,7.72,109,Alabama,Southeastern (SEC),2003,SD
JJ-2800,Jaymar,Johnson,J.Johnson,WR,,71,177,1984,4.5,14,32,118,4.18,6.75,193,Jackson State,Southwestern Athletic (SWAC),2009,
JJ-2900,Jeremi,Johnson,J.Johnson,RB,,71,265,1980,4.9,20,29,103,,,118,Indiana,Big Ten,2003,
JJ-3000,Jeremiah,Johnson,J.Johnson,RB,,69,210,1987,4.62,20,35,115,,,0,Oregon,Pacific 10,2011,
JJ-3100,Jerome,Johnson,J.Johnson,RB,,72,258,1985,,,,,,,0,Nevada-Reno,,2010,
JJ-3200,Jeron,Johnson,J.Johnson,DB,,70,212,1988,4.51,23,,,,,0,Boise State,Western Athletic,2011,SEA
JJ-3250,Jerrod,Johnson,J.Johnson,QB,,77,251,1988,4.75,,29,119,,,0,Texas A&M,Big 12,2012,CHI
JJ-3300,Jerry,Johnson,J.Johnson,DL,,72,290,1977,5.03,26,28.5,102,,,101,Florida State,Atlantic Coast (ACC),2001,
JJ-3400,Joe,Johnson,J.Johnson,DL,,76,275,1972,,,,,,,13,Louisville,FBS Independents,1994,
JJ-3500,Josh,Johnson,J.Johnson,QB,,74,213,1986,4.53,,33.5,110,4.42,7.56,160,San Diego,,2009,CIN
JJ-3600,Jovon,Johnson,J.Johnson,DB,,69,177,1983,,,,,,,0,Iowa,Big Ten,2006,
JJ-3700,Johnny,Jolly,J.Jolly,DL,,75,310,1983,5.41,,,104,,,183,Texas A&M,Big 12,2006,GB
JJ-3800,J.J.,Jones,J.Jones,LB,,73,230,1978,,,,,,,0,Arkansas,Southeastern (SEC),2002,
JJ-3900,Jacoby,Jones,J.Jones,WR,,75,220,1984,4.5,,34,129,4.31,7.03,73,Lane,,2007,BAL
JJ-4000,Jamal,Jones,J.Jones,WR,,72,214,1981,,,,,,,0,North Carolina A&T,Mid-Eastern Athletic (MEAC),2005,
JJ-4100,James,Jones,J.Jones,DL,,74,290,1969,,,,,,,57,Northern Iowa,Missouri Valley,1991,
JJ-4200,James,Jones,J.Jones,WR,,73,208,1984,4.54,22,34,119,4.2,7.06,78,San Jose State,Western Athletic,2007,GB
JJ-4250,Jarvis,Jones,J.Jones,LB,,74,245,1989,4.88,20,30.5,111,4.71,7.46,17,Georgia,Southeastern (SEC),2013,PIT
JJ-4300,Jason,Jones,J.Jones,DL,,77,280,1986,4.76,18,25.5,123,4.32,7.29,54,Eastern Michigan,Mid-American (MAC),2008,DET
JJ-4400,Jermaine,Jones,J.Jones,DB,,68,173,1976,4.53,12,38.5,118,3.96,6.79,162,Northwestern State,Southland,1999,
JJ-4500,John,Jones,J.Jones,TE,,76,255,1975,4.63,13,38.5,125,4.43,7.33,0,Indiana (PA),,2000,
JJ-4530,Johnny,Jones,J.Jones,DL,,76,321,1988,,,,,,,0,Marshall,Conference USA (C-USA),2011,
JJ-4600,Julian,Jones,J.Jones,DB,,72,190,1978,,,,,,,0,Missouri,Big 12,2002,
JJ-4700,Julio,Jones,J.Jones,WR,,75,220,1989,4.34,17,38.5,,4.25,6.66,6,Alabama,Southeastern (SEC),2011,ATL
JJ-4800,Julius,Jones,J.Jones,RB,,70,210,1981,4.47,,37.5,121,4.16,7.96,43,Notre Dame,FBS Independents,2004,
JJ-4900,James,Jordan,J.Jordan,WR,,74,225,1978,,,,,,,0,Louisiana Tech,Western Athletic,2002,
JJ-5000,Johnathan,Joseph,J.Joseph,DB,,71,190,1984,4.31,15,37,123,4.27,6.94,24,South Carolina,Southeastern (SEC),2006,HOU
JJ-5100,Jarmar,Julien,J.Julien,RB,,71,240,1979,,,,,,,0,San Jose State,Western Athletic,2002,
JJ-5200,Joe,Jurevicius,J.Jurevicius,WR,TE,77,230,1974,,,,,,,55,Penn State,Big Ten,1998,
JK-0050,Josh,Kaddu,J.Kaddu,LB,,75,242,1990,4.67,20,34,123,,,0,Oregon,Pacific 12,2012,MIA
JK-0100,Jeremy,Kapinos,J.Kapinos,K,,73,233,1984,,,,,,,0,Penn State,Big Ten,2007,
JK-0200,John,Kasay,J.Kasay,K,,70,198,1969,,,,,,,98,Georgia,Southeastern (SEC),1991,
JK-0250,Jermaine,Kearse,J.Kearse,WR,,73,209,1990,4.5,14,34,119,4.12,7.03,0,Washington,Pacific 12,2012,SEA
JK-0300,Jevon,Kearse,J.Kearse,DL,,76,265,1976,,,,,,,16,Florida,Southeastern (SEC),1999,
JK-0400,John,Keith,J.Keith,DB,,72,207,1977,,,,,,,108,Furman,Southern,2000,
JK-0500,Jason,Kelce,J.Kelce,OL,,75,280,1987,4.89,,30.5,110,4.14,7.22,191,Cincinnati,Big East,2011,PHI
JK-0600,Jeff,Kelly,J.Kelly,QB,,73,212,1979,,,,,,,232,Southern Mississippi,Conference USA (C-USA),2002,
JK-0700,Jeff,Kelly,J.Kelly,LB,,71,242,1975,4.95,16,32,112,4.37,7.65,198,Kansas State,Big 12,1999,
JK-0800,Jimmy,Kennedy,J.Kennedy,DL,,76,320,1979,,,,,,,12,Penn State,Big Ten,2003,
JK-0900,Jordan,Kent,J.Kent,WR,,76,219,1984,,,,,,,210,Oregon,Pacific 10,2008,
JK-1000,Jeremy,Kerley,J.Kerley,WR,,69,188,1988,4.56,16,34.5,120,,,153,Texas Christian,Mountain West (MWC),2011,NYJ
JK-1050,Jeremy,Kimbrough,J.Kimbrough,LB,,71,240,1991,4.58,21,33,117,4.55,6.81,0,Appalachian State,Southern,2013,WAS
JK-1100,Jarriel,King,J.King,OL,,77,324,1987,5.03,23,30,114,4.77,7.6,0,South Carolina,Southeastern (SEC),2011,
JK-1200,Jeff,King,J.King,TE,,77,260,1983,4.83,21,32.5,109,4.13,6.99,155,Virginia Tech,Atlantic Coast (ACC),2006,ARI
JK-1300,Justin,King,J.King,DB,LB,71,188,1987,4.31,14,34,127,4.31,7.14,101,Penn State,Big Ten,2009,
JK-1400,Jammie,Kirlew,J.Kirlew,DL,,75,258,1987,5.05,26,33,111,4.74,7.5,0,Indiana,Big Ten,2011,
JK-1500,Jon,Kitna,J.Kitna,QB,,74,220,1972,,,,,,,0,Central Washington,,1997,
JK-1600,Jimmy,Kleinsasser,J.Kleinsasser,TE,RB,75,272,1977,4.79,18,34.5,114,4.33,7.24,44,North Dakota,,1999,
JK-1650,Josh,Kline,J.Kline,OL,,75,310,1989,5.07,25,27,102,4.59,7.63,0,Kent State,Mid-American (MAC),2013,NE
JK-1700,Joe,Klopfenstein,J.Klopfenstein,TE,,77,250,1983,4.63,27,36,112,4.24,7.4,46,Colorado,Big 12,2006,
JK-1750,Jake,Knott,J.Knott,LB,,74,243,1990,4.76,20,34,113,4.3,7.16,0,Iowa State,Big 12,2013,PHI
JK-1800,Johnny,Knox,J.Knox,WR,,72,185,1986,4.29,,35,122,4.15,6.81,140,Abilene Christian,,2009,
JK-1900,Jameson,Konz,J.Konz,TE,LB,75,234,1986,,,,,,,0,Kent State,Mid-American (MAC),2011,
JK-1950,Jordan,Kovacs,J.Kovacs,DB,,70,205,1990,4.63,17,35,122,4.25,6.81,0,Michigan,Big Ten,2013,MIA
JK-2000,Joe,Kowalewski,J.Kowalewski,TE,,76,250,1982,,,,,,,0,Syracuse,Big East,2007,
JK-2100,Jordan,Kramer,J.Kramer,LB,,73,230,1979,,,,,,,0,Idaho,Sun Belt,2003,
JK-2150,Joe,Kruger,J.Kruger,LB,DL,78,269,1992,4.81,24,34,117,4.46,7.17,212,Utah,Pacific 12,2013,PHI
JK-2200,John,Kuhn,J.Kuhn,RB,,72,250,1982,,,,,,,0,Shippensburg,,2006,GB
JK-2300,Justin,Kurpeikis,J.Kurpeikis,LB,,75,254,1977,,,,,,,0,Penn State,Big Ten,2001,
JK-2400,Jason,Kyle,J.Kyle,LB,,75,242,1972,,,,,,,126,Arizona State,Pacific 10,1995,
JL-0100,Jacob,Lacey,J.Lacey,DB,,70,177,1987,,,,,,,0,Oklahoma State,Big 12,2009,
JL-0200,Jason,Lamar,J.Lamar,LB,,72,228,1978,,,,,,,0,Toledo,Mid-American (MAC),2002,
JL-0230,Jeremy,Lane,J.Lane,DB,,72,180,1990,4.52,,,,,,172,Northwestern State,Southland,2012,SEA
JL-0260,Jorvorskie,Lane,J.Lane,RB,,71,258,1987,,,,,,,0,Texas A&M,Big 12,2012,
JL-0300,Jevon,Langford,J.Langford,DL,,75,290,1974,,,,,,,108,Oklahoma State,Big Eight,1996,
JL-0400,Joey,LaRocque,J.LaRocque,LB,,74,226,1986,,,,,,,243,Oregon State,Pacific 10,2008,
JL-0500,Jamari,Lattimore,J.Lattimore,LB,,74,237,1988,,,,,,,0,Middle Tennessee,Sun Belt,2011,GB
JL-0600,James,Laurinaitis,J.Laurinaitis,LB,,74,247,1986,4.76,22,33,115,4.24,6.93,35,Ohio State,Big Ten,2009,STL
JL-0650,Javone,Lawson,J.Lawson,WR,,73,183,1990,4.69,7,32,113,4.47,7.38,0,Louisiana-Lafayette,Sun Belt,2013,ARI
JL-0700,John,Leake,J.Leake,LB,,72,228,1981,,,,,,,0,Clemson,Atlantic Coast (ACC),2005,
JL-0800,James,Lee,J.Lee,DL,,77,325,1980,4.98,23,30,106,4.69,7.78,147,Oregon State,Pacific 10,2003,
JL-0900,James,Lee,J.Lee,OL,,76,300,1985,,,,,,,0,South Carolina State,Mid-Eastern Athletic (MEAC),2011,
JL-1000,Jay,Leeuwenburg,J.Leeuwenburg,OL,,75,294,1969,,,,,,,244,Colorado,Big Eight,1992,
JL-1100,Joe,Lefeged,J.Lefeged,DB,,72,205,1988,4.42,18,36.5,122,4.13,6.82,0,Rutgers,Big East,2011,IND
JL-1200,Jim,Leonhard,J.Leonhard,DB,,68,188,1982,4.63,19,,,,,0,Wisconsin,Big Ten,2005,BUF
JL-1250,Josh,LeRibeus,J.LeRibeus,OL,,75,312,1989,5.31,29,26,96,4.65,7.64,71,SMU,Conference USA (C-USA),2012,WAS
JL-1300,Jeremy,LeSueur,J.LeSueur,DB,,72,197,1980,4.53,,35,116,,,85,Michigan,Big Ten,2005,
JL-1400,Jamal,Lewis,J.Lewis,RB,,71,240,1979,4.58,23,,,,,5,Tennessee,Southeastern (SEC),2000,
JL-1500,Jeff,Lewis,J.Lewis,QB,,74,211,1973,,,,,,,100,Northern Arizona,Big Sky,1996,
JL-1600,Jermaine,Lewis,J.Lewis,WR,,67,183,1974,,,,,,,153,Maryland,Atlantic Coast (ACC),1996,
JL-1700,Jonas,Lewis,J.Lewis,RB,,69,210,1978,,,,,,,0,San Diego State,Mountain West (MWC),2000,
JL-1800,Jonathan,Lewis,J.Lewis,DL,,73,305,1984,4.97,24,33.5,111,4.43,7.42,177,Virginia Tech,Atlantic Coast (ACC),2006,
JL-1900,Jeremy,Lincoln,J.Lincoln,DB,,70,180,1969,,,,,,,80,Tennessee,Southeastern (SEC),1993,
JL-2000,Jeffrey,Linkenbach,J.Linkenbach,OL,,76,311,1987,,,,,,,0,Cincinnati,Big East,2011,IND
JL-2100,Jonathan,Linton,J.Linton,RB,,73,234,1974,,,,,,,131,North Carolina,Atlantic Coast (ACC),1998,
JL-2200,Jody,Littleton,J.Littleton,OL,LB,73,235,1974,,,,,,,0,Baylor,Big 12,2002,
JL-2250,Jeff,Locke,J.Locke,K,,72,209,1989,4.82,,,,,,155,UCLA,Pacific 12,2013,MIN
JL-2300,Jake,Locker,J.Locker,QB,,74,234,1988,4.51,,35,115,4.12,6.77,8,Washington,Pacific 10,2011,TEN
JL-2400,James,Logan,J.Logan,LB,,74,222,1972,,,,,,,0,Memphis,FBS Independents,1995,
JL-2500,Jake,Long,J.Long,OL,,79,319,1985,5.22,37,27.5,102,4.73,7.44,1,Michigan,Big Ten,2008,STL
JL-2530,Jerome,Long,J.Long,DL,,77,285,1990,,,,,,,218,San Diego State,Mountain West (MWC),2012,
JL-2545,Joe,Long,J.Long,OL,,77,304,1989,5.48,21,27.5,98,4.59,7.69,0,Wayne State,,2012,PIT
JL-2560,Joe,Looney,J.Looney,OL,,75,309,1990,5.02,26,,,,,117,Wake Forest,Atlantic Coast (ACC),2012,SF
JL-2600,Jammal,Lord,J.Lord,DB,,74,220,1981,,,,,,,175,Nebraska,Big 12,2004,
JL-2700,Jared,Lorenzen,J.Lorenzen,QB,,76,275,1981,,,,,,,0,Kentucky,Southeastern (SEC),2006,
JL-2800,J.P.,Losman,J.Losman,QB,,75,220,1981,4.73,,33,116,,,22,Tulane,Conference USA (C-USA),2004,
JL-2850,John,Lotulelei,J.Lotulelei,LB,,71,233,1991,4.78,25,35.5,117,4.3,6.91,0,UNLV,Mountain West (MWC),2013,JAC
JL-2900,Josh,Lovelady,J.Lovelady,OL,,75,330,1978,,,,,,,0,Houston,Conference USA (C-USA),2002,
JL-3000,Jeremy,Loyd,J.Loyd,LB,,74,235,1980,4.64,17,34,114,4.15,6.9,0,Iowa State,Big 12,2003,
JL-3100,Justin,Lucas,J.Lucas,DB,,70,211,1976,,,,,,,0,Texas A&M,Big 12,1999,
JL-3200,Jonathan,Luigs,J.Luigs,OL,,75,303,1986,5.14,26,31,99,4.79,7.69,106,Arkansas,Southeastern (SEC),2009,
JL-3300,James,Lynch,J.Lynch,RB,,71,276,1982,,,,,,,0,Maryland,Atlantic Coast (ACC),2004,
JL-3400,John,Lynch,J.Lynch,DB,K,74,220,1971,,,,,,,82,Stanford,Pacific 10,1993,
JM-0050,Jordan,Mabin,J.Mabin,DB,,71,180,1988,4.57,,33.5,,4.12,6.93,0,Northwestern,Big Ten,2012,ATL
JM-0100,J.P.,Machado,J.Machado,OL,,76,300,1976,,,,,,,197,Illinois,Big Ten,1999,
JM-0200,Jeremy,Maclin,J.Maclin,WR,,72,198,1988,4.45,,,,,,19,Missouri,Big 12,2009,PHI
JM-0300,John,Madsen,J.Madsen,WR,TE,77,220,1983,,,,,,,0,Utah,Mountain West (MWC),2006,
JM-0400,Jeff,Maehl,J.Maehl,WR,,73,190,1989,4.56,,33.5,115,3.94,6.42,0,Oregon,Pacific 10,2011,PHI
JM-0500,Joe,Maese,J.Maese,OL,,72,241,1978,,,,,,,194,New Mexico,Mountain West (MWC),2001,
JM-0600,Jesse,Mahelona,J.Mahelona,DL,,73,305,1983,,,,,,,169,Tennessee,Southeastern (SEC),2006,
JM-0700,Joel,Makovicka,J.Makovicka,RB,TE,71,246,1975,4.81,18,32.5,106,4.05,6.72,116,Nebraska,Big 12,1999,
JM-0750,John,Malecki,J.Malecki,OL,,74,298,1988,,,,,,,0,Pittsburgh,Big East,2012,PIT
JM-0800,Josh,Mallard,J.Mallard,DL,,77,254,1979,,,,,,,220,Georgia,Southeastern (SEC),2002,
JM-0900,James,Marten,J.Marten,OL,,79,315,1984,5.08,,30.5,100,4.54,7.68,67,Boston College,Atlantic Coast (ACC),2008,
JM-1000,Jamar,Martin,J.Martin,RB,,71,256,1980,4.89,23,32,108,4.34,7.53,129,Ohio State,Big Ten,2003,
JM-1100,Jamie,Martin,J.Martin,QB,,74,205,1970,,,,,,,0,Weber State,Big Sky,1996,
JM-1130,Jonathan,Martin,J.Martin,OL,,77,312,1989,5.35,,,,,,42,Stanford,Pacific 12,2012,MIA
JM-1140,Josh,Martin,J.Martin,LB,,75,245,1991,4.64,30,32.5,124,4.51,7.08,0,Columbia,Ivy League,2013,KC
JM-1160,Jonathan,Massaquoi,J.Massaquoi,DL,,74,264,1988,,,,,,,164,Troy,Sun Belt,2012,ATL
JM-1200,Jeron,Mastrud,J.Mastrud,TE,,77,262,1987,,,,,,,0,Kansas State,Big 12,2010,OAK
JM-1300,Jason,Mathews,J.Mathews,OL,,77,285,1971,,,,,,,67,Texas A&M,Southwest,1994,
JM-1400,Jerome,Mathis,J.Mathis,WR,,71,181,1983,4.26,,35.5,123,,,114,Hampton,Mid-Eastern Athletic (MEAC),2005,
JM-1500,John,Matthews,J.Matthews,WR,,72,197,1986,,,,,,,0,San Diego,,2010,
JM-1600,Josh,Mauga,J.Mauga,LB,,73,245,1987,,,,,,,0,Nevada-Reno,,2010,NYJ
JM-1700,Jim,Maxwell,J.Maxwell,LB,,76,242,1981,,,,,,,0,Gardner-Webb,,2004,
JM-1800,Jermane,Mayberry,J.Mayberry,OL,,76,325,1973,,,,,,,25,Texas A&M,Southwest,1996,
JM-1900,Jerod,Mayo,J.Mayo,LB,,73,245,1986,4.54,,32,114,4.29,7.31,10,Tennessee,Southeastern (SEC),2008,NE
JM-2000,Joe,Mays,J.Mays,LB,DB,71,246,1985,,,,,,,200,North Dakota State,Great West,2008,HOU
JM-2100,Jason,McAddley,J.McAddley,WR,,74,200,1979,4.47,,36.5,123,4.09,6.83,149,Alabama,Southeastern (SEC),2002,
JM-2200,Justin,McCareins,J.McCareins,WR,,74,215,1978,4.51,,41,129,3.99,7.06,124,Northern Illinois,Mid-American (MAC),2001,
JM-2300,John,McCargo,J.McCargo,DL,,74,295,1983,5.15,25,30.5,110,4.49,7.8,26,North Carolina State,Atlantic Coast (ACC),2006,
JM-2400,Jameel,McClain,J.McClain,LB,,73,245,1985,4.74,24,26,110,4.31,7.12,0,Syracuse,Big East,2008,BAL
JM-2500,Jimmy,McClain,J.McClain,LB,,72,231,1980,,,,,,,0,Troy,FCS Independents,2002,
JM-2600,Jacques,McClendon,J.McClendon,OL,,75,324,1987,,,,,,,0,East Tennessee State,,2010,JAC
JM-2800,Jason,McCourty,J.McCourty,DB,,72,188,1987,,,,,,,203,Rutgers,Big East,2009,TEN
JM-2900,Josh,McCown,J.McCown,QB,,76,212,1979,4.59,,38.5,120,3.9,6.85,81,Sam Houston State,Southland,2002,CHI
JM-3000,Jeremy,McDaniel,J.McDaniel,WR,,72,197,1976,4.63,,33.5,112,4.32,7.3,0,Arizona,Pacific 10,1999,
JM-3100,Jerome,McDougle,J.McDougle,DL,,74,264,1978,4.67,,34,117,4.58,7.28,15,Miami (FL),Big East,2003,
JM-3200,Jon,McGraw,J.McGraw,DB,,75,206,1979,4.5,13,39.5,126,3.92,6.51,57,Kansas State,Big 12,2002,
JM-3300,Jason,McKie,J.McKie,RB,,71,240,1980,,,,,,,0,Temple,Big East,2002,
JM-3400,Jeremy,McKinney,J.McKinney,OL,,78,301,1976,,,,,,,0,Iowa,Big Ten,2001,
JM-3500,James,McKnight,J.McKnight,WR,,73,198,1972,,,,,,,0,Liberty,,1994,
JM-3600,Joe,McKnight,J.McKnight,RB,,71,205,1988,4.4,18,36.5,120,,,112,USC,Pacific 10,2010,
JM-3700,John,McLaughlin,J.McLaughlin,LB,DL,76,247,1975,4.67,18,31.5,107,4.14,6.84,150,California,Pacific 10,1999,
JM-3750,Jerron,McMillian,J.McMillian,DB,,71,203,1989,4.47,17,36.5,120,4.22,6.69,133,Maine,Colonial Athletic (CAA),2012,GB
JM-3775,Josh,McNary,J.McNary,LB,,72,250,1988,4.75,,,,,,0,Army,FBS Independents,2012,IND
JM-3800,Jacob,McQuaide,J.McQuaide,LS,,74,219,1987,,,,,,,0,Ohio State,Big Ten,2011,STL
JM-3900,Johnny,McWilliams,J.McWilliams,TE,,76,271,1972,,,,,,,64,USC,Pacific 10,1996,
JM-4000,Justin,Medlock,J.Medlock,K,,72,201,1983,,,,,,,160,UCLA,Pacific 10,2007,
JM-4050,Jonathan,Meeks,J.Meeks,DB,,73,210,1989,4.55,23,33.5,115,4.72,7.13,143,Clemson,Atlantic Coast (ACC),2013,BUF
JM-4100,Jamon,Meredith,J.Meredith,OL,,77,304,1986,4.99,31,28,105,4.82,8.01,162,South Carolina,Southeastern (SEC),2009,TB
JM-4200,John,Milem,J.Milem,DL,,79,290,1975,,,,,,,150,Lenoir-Rhyne,,2000,
JM-4300,Jeromy,Miles,J.Miles,DB,,74,210,1987,,,,,,,0,Massachusetts,Colonial Athletic (CAA),2010,BAL
JM-4400,Jamir,Miller,J.Miller,DL,LB,77,252,1973,,,,,,,10,UCLA,Pacific 10,1994,
JM-4500,Jim,Miller,J.Miller,QB,,74,226,1971,,,,,,,178,Michigan State,Big Ten,1995,
JM-4600,Jordan,Miller,J.Miller,DL,,74,315,1988,,,,,,,0,Southern,Southwestern Athletic (SWAC),2011,JAC
JM-4700,Josh,Miller,J.Miller,K,,76,225,1970,,,,,,,0,Arizona,Pacific 10,1996,
JM-4800,Justin,Miller,J.Miller,DB,,70,202,1984,4.42,15,41.5,128,,,57,Clemson,Atlantic Coast (ACC),2005,
JM-4900,Javor,Mills,J.Mills,DL,,77,271,1979,,,,,,,0,Auburn,Southeastern (SEC),2002,
JM-4950,Jordan,Mills,J.Mills,OL,,77,316,1990,5.3,20,28.5,101,4.88,8.1,163,Louisiana Tech,Western Athletic,2013,CHI
JM-5000,Jeremy,Mincey,J.Mincey,DL,,75,272,1983,4.76,27,33.5,116,4.25,7.01,191,Florida,Southeastern (SEC),2007,DEN
JM-5100,Jayme,Mitchell,J.Mitchell,DL,,78,285,1984,,,,,,,0,Mississippi,Southeastern (SEC),2006,
JM-5200,Jeff,Mitchell,J.Mitchell,OL,,76,300,1974,,,,,,,134,Florida,Southeastern (SEC),1998,
JM-5300,John,Mobley,J.Mobley,LB,,73,236,1973,,,,,,,15,Kutztown,,1996,
JM-5400,John,Moffitt,J.Moffitt,OL,,76,319,1986,5.51,23,30.5,102,4.53,7.79,75,Wisconsin,Big Ten,2011,DEN
JM-5500,Jim,Molinaro,J.Molinaro,OL,,78,310,1981,5.09,21,29.5,105,4.64,7.77,180,Notre Dame,FBS Independents,2004,
JM-5600,Joe,Montgomery,J.Montgomery,RB,,70,230,1976,4.63,,,,4.22,7.1,49,Ohio State,Big Ten,1999,
JM-5700,Jason,Moore,J.Moore,DB,,70,191,1976,,,,,,,0,San Diego State,Western Athletic,1999,
JM-5800,Jerald,Moore,J.Moore,RB,,69,225,1974,,,,,,,83,Oklahoma,Big Eight,1996,
JM-5900,Joshua,Moore,J.Moore,DB,,71,184,1988,4.5,2,36.5,122,4.07,6.74,141,Kansas State,Big 12,2010,
JM-6000,Johnnie,Morant,J.Morant,WR,,76,229,1981,4.51,,41,130,4.26,7.35,134,Syracuse,Big East,2004,
