PID,KICKER,KGRO,KNET,KTB,KR,KRY
362124,SS-3100,70,44,N,BM-2100,26
362144,SS-3100,72,46,N,BM-2100,26
362157,JH-0900,55,35,Y,XX-0000,0
362168,SS-3100,65,47,N,BM-2100,18
362177,JS-1100,67,44,N,JC-5600,23
362205,PD-0200,67,44,N,BW-2700,23
362220,JS-1100,70,32,N,JC-5600,38
362229,PD-0200,71,53,N,BW-2700,18
362243,PD-0200,68,38,N,BW-2700,30
362254,PD-0200,65,42,N,BW-2700,23
362265,JS-1100,75,55,Y,XX-0000,0
362300,JS-1100,66,49,N,JC-5600,17
362312,PD-0200,66,47,N,BW-2700,19
362317,PD-0200,68,47,N,BW-2700,21
362335,JR-1100,75,55,Y,XX-0000,0
362345,JR-1100,70,35,N,AB-2600,35
362357,JC-0900,57,39,N,CD-0600,18
362382,JC-0900,78,58,Y,XX-0000,0
362396,JC-0900,68,46,N,ND-0100,22
362406,JC-0900,66,52,N,ND-0100,14
362420,JR-1100,69,44,N,AB-2600,25
362464,JC-0900,58,40,N,ND-0100,18
362468,MB-2100,49,33,N,AB-2600,16
362477,JC-0900,62,39,N,ND-0100,23
362492,OM-0100,70,50,Y,XX-0000,0
362507,OM-0100,70,45,N,AR-1700,25
362519,OM-0100,74,41,N,AR-1700,33
362539,OM-0100,55,35,N,MR-1500,20
362552,JN-0600,70,50,Y,XX-0000,0
362579,OM-0100,66,46,N,AR-1700,20
362581,JN-0600,70,50,Y,XX-0000,0
362603,JN-0600,70,30,N,JW-5300,40
362610,OM-0100,62,32,N,MR-1500,30
362627,JN-0600,70,50,Y,XX-0000,0
362635,OM-0100,68,39,N,MR-1500,29
362655,KB-2300,75,55,N,GH-1100,20
362661,KB-2300,76,56,Y,XX-0000,0
362677,SG-1100,63,45,N,JJ-3900,18
362714,KB-2300,63,49,N,GH-1100,14
362725,SG-1100,73,43,N,JJ-3900,30
362732,SG-1100,64,54,N,JJ-3900,10
362744,KB-2300,69,51,N,GH-1100,18
362754,KB-2300,69,39,N,GH-1100,30
362780,KB-2300,72,52,N,KW-0800,20
362802,AV-0400,68,26,N,CC-0700,42
362814,RB-2200,58,39,N,PG-0100,19
362830,AV-0400,71,36,N,CC-0700,35
362841,RB-2200,69,49,N,PG-0100,20
362877,RB-2200,62,34,N,PG-0100,28
362888,AV-0400,55,35,Y,XX-0000,0
362907,RB-2200,62,30,N,PG-0100,32
362919,RB-2200,65,39,N,PG-0100,26
362942,RB-2200,78,58,Y,XX-0000,0
362949,RB-2200,66,41,N,PG-0100,25
362962,AV-0400,7,7,N,XX-0000,0
362965,KB-2300,66,36,N,MH-2500,30
362971,RL-1300,67,44,N,JJ-3900,23
362983,KB-2300,55,41,N,JK-1600,14
363008,RL-1300,65,49,N,JJ-3900,16
363026,RL-1300,60,49,N,JJ-3900,11
363044,RL-1300,62,42,N,JJ-3900,20
363056,KB-2300,72,63,N,AA-1100,9
363095,RL-1300,68,37,N,RM-4400,31
363109,KB-2300,11,11,N,XX-0000,0
363120,SG-1100,69,53,N,MJ-2500,16
363148,SG-1100,69,47,N,MJ-2500,22
363166,SG-1100,67,42,N,BW-2700,25
363184,JS-1100,75,55,Y,XX-0000,0
363195,JS-1100,65,30,N,XX-0000,0
363212,SG-1100,67,47,N,BW-2700,20
363244,JS-1100,72,54,N,GH-1100,18
363245,JS-1100,68,48,N,GH-1100,20
363277,JS-1100,8,8,N,XX-0000,0
363284,MB-4600,60,39,N,DS-0700,21
