PID,PUNTER,PGRO,PNET,PTB,PR,PRY,PFC
2755,CM-2600,31,31,N,AR-1700,0,Y
2768,CM-2600,42,22,Y,XX-0000,0,N
2792,DP-1700,29,29,N,XX-0000,0,N
2796,CG-0300,43,34,N,CY-0100,9,N
2800,DP-1700,43,43,N,DN-1400,0,Y
2826,CG-0300,56,52,N,CY-0100,4,N
2843,CG-0300,47,37,N,CY-0100,10,N
2849,DP-1700,45,37,N,DN-1400,8,N
2855,CG-0300,54,49,N,CY-0100,5,N
2859,DP-1700,49,52,N,DN-1400,-3,N
2872,DP-1700,37,37,N,XX-0000,0,N
2925,CG-0300,41,41,N,CY-0100,0,N
2929,DP-1700,41,41,N,DN-1400,0,Y
2934,CG-0300,46,39,N,CY-0100,7,N
2947,CG-0300,51,41,N,CY-0100,10,N
2954,DS-4900,27,27,N,XX-0000,0,N
2976,DS-4900,43,43,N,XX-0000,0,N
2990,DS-4900,45,40,N,DO-0200,5,N
3004,DS-4900,32,32,N,XX-0000,0,N
3022,TR-0900,24,24,N,XX-0000,0,N
3026,DS-4900,46,23,N,DO-0200,23,N
3055,DS-4900,45,17,N,DO-0200,28,N
3062,TR-0900,39,19,Y,XX-0000,0,N
3077,TR-0900,50,43,N,TD-2500,7,N
3088,DS-4900,34,34,N,TB-3700,0,Y
3092,TR-0900,44,19,N,TD-2500,25,N
3103,TR-0900,60,42,N,TD-2500,18,N
3135,TB-0600,28,28,N,DH-4200,0,Y
3140,JJ-2300,47,43,N,DS-0400,4,N
3196,TB-0600,37,37,N,DH-4200,0,Y
3244,TB-0600,43,37,N,DH-4200,6,N
3253,JJ-2300,40,40,N,XX-0000,0,N
3279,SL-0400,59,43,N,PW-1100,16,N
3314,SL-0400,55,49,N,PW-1100,6,N
3379,HS-0200,59,34,N,DD-2900,25,N
3390,HS-0200,56,45,N,DD-2900,11,N
3418,SL-0400,44,38,N,PW-1100,6,N
3439,MB-2100,54,48,N,LS-0700,6,N
3446,MT-2300,45,42,N,DP-0200,3,N
3461,MT-2300,50,43,N,DP-0200,7,N
3472,MT-2300,38,38,N,DP-0200,0,Y
3482,MB-2100,49,49,N,XX-0000,0,N
3488,MT-2300,62,55,N,DP-0200,7,N
3516,MT-2300,44,24,Y,XX-0000,0,N
3523,MB-2100,21,21,N,JO-0400,0,Y
3532,MT-2300,39,39,N,XX-0000,0,N
3551,MT-2300,30,30,N,DP-0200,0,Y
3555,MB-2100,55,47,N,LS-0700,8,N
3559,MT-2300,48,49,N,DP-0200,-1,N
3568,MT-2300,38,38,N,XX-0000,0,N
3597,BM-0700,39,19,Y,XX-0000,0,N
3601,SL-0100,59,44,N,TB-0400,15,N
3616,SL-0100,54,50,N,TB-0400,4,N
3632,SL-0100,52,52,N,XX-0000,0,N
3638,BM-0700,31,31,N,XX-0000,0,N
3661,SL-0100,39,24,N,TB-0400,15,N
3745,TG-1500,37,37,N,XX-0000,0,N
3750,DB-1500,43,43,N,CM-3100,0,N
3757,TG-1500,44,29,N,NJ-0200,15,N
3795,DB-1500,47,16,N,CM-3100,31,N
3841,DB-1500,38,27,N,CM-3100,11,N
