PID,INT,YDS
86467,MV-0400,0
86569,TB-3700,-2
86662,FW-0500,14
86932,DB-4200,97
86996,MF-0400,7
87048,MM-3400,40
87189,KL-0100,71
87236,BB-2500,1
87277,RG-2000,0
87372,DC-2400,52
87456,DR-2700,21
87471,JF-2100,0
87505,PS-1000,0
87518,DM-0100,30
87652,MM-2400,1
87700,MM-2400,29
87988,DS-2600,17
88028,MM-2700,0
88044,DS-1600,44
88140,JD-0200,0
88233,VG-0200,90
88313,JS-1500,25
88397,AG-0800,34
88435,VF-0100,25
88572,DO-0200,0
88706,IK-0100,27
88820,JS-1700,31
88887,AA-1500,2
88929,WP-0200,0
88979,JP-3600,30
89056,JP-3600,84
89110,CW-3700,3
89154,TV-0200,1
89237,BD-0700,0
89303,MW-1500,40
89387,DE-0400,20
89406,JL-3100,7
89443,RA-1400,0
89592,SK-0500,5
89788,MA-0900,78
89819,CC-1800,43
89853,DS-1600,0
89882,MM-2700,0
89947,TM-1100,0
89982,IB-0100,0
90128,SW-2100,0
90136,DR-2700,7
90253,BM-0200,62
90268,MM-3400,0
90280,DG-2400,6
90283,CC-1500,33
90293,TC-1100,13
90346,DG-2400,0
90406,DG-2400,10
90442,MM-1100,25
90467,OS-0800,-1
90527,TL-0500,0
90740,WP-0200,1
90901,SB-1700,29
91021,CB-0100,0
91057,ZB-0300,0
91142,AD-1700,16
91264,KM-0500,8
91341,AA-1200,0
91466,SR-0600,30
91481,DJ-0300,20
91526,BK-0600,31
91555,DB-4200,39
91589,DB-0900,22
91638,JL-3100,38
91910,BS-2000,51
91959,SQ-0100,25
91996,OG-0400,6
92144,CH-1800,49
92187,CC-1800,0
92322,DM-3500,4
92424,DD-0100,3
92457,JC-5500,0
92573,EW-0300,5
92669,GW-0600,42
92676,GW-0600,16
92687,GW-0600,13
92705,RW-4100,18
92798,RW-4100,82
92857,PB-0800,0
92869,RW-4100,0
92893,EB-1700,7
92946,BD-0700,27
92988,BT-0500,0
93112,JP-3600,27
93125,CS-1100,0
93176,RG-2000,0
93204,AD-0300,0
93312,RM-3300,16
93327,DE-0400,46
93388,GE-0200,0
93417,DW-4600,1
93485,DB-2800,0
93614,RT-1200,46
93719,RT-1200,23
93795,RL-0600,4
