PID,FGXP,FKICKER,DIST,GOOD
6689,XP,JW-3300,20,Y
6696,XP,WR-0500,20,Y
6699,XP,JW-3300,20,Y
6723,XP,JW-3300,20,Y
6741,FG,JW-3300,25,Y
6751,XP,WR-0500,20,Y
6761,XP,JW-3300,20,Y
6778,XP,JW-3300,20,Y
6808,FG,OM-0100,42,Y
6823,FG,OM-0100,41,Y
6858,FG,MS-5200,30,N
6865,XP,OM-0100,20,Y
6879,FG,MS-5200,27,Y
6889,XP,OM-0100,20,N
6898,FG,MS-5200,33,Y
6940,XP,MH-3900,20,Y
6955,XP,TS-1100,20,Y
6972,XP,TS-1100,20,Y
7015,FG,TS-1100,32,Y
7030,XP,MH-3900,20,Y
7057,XP,TS-1100,20,Y
7069,XP,MH-3900,20,Y
7084,FG,TS-1100,38,Y
7120,XP,RL-1300,20,Y
7134,XP,RL-1300,20,Y
7145,FG,CB-1700,31,Y
7158,FG,RL-1300,38,Y
7185,FG,RL-1300,47,Y
7204,FG,RL-1300,48,Y
7219,FG,RL-1300,37,Y
7226,FG,RL-1300,22,Y
7263,XP,MA-0700,20,Y
7274,FG,JW-3300,30,Y
7295,XP,JW-3300,20,Y
7320,FG,MA-0700,37,Y
7324,XP,JW-3300,20,Y
7337,FG,MA-0700,45,Y
7345,XP,JW-3300,20,Y
7350,FG,JW-3300,30,Y
7378,XP,JW-3300,20,Y
7384,XP,MA-0700,20,Y
7387,XP,JW-3300,20,Y
7421,FG,MS-5200,30,Y
7440,XP,MS-5200,20,Y
7445,XP,MS-5200,20,Y
7475,XP,MS-5200,20,Y
7516,FG,MS-5200,37,Y
7547,XP,MS-5200,20,Y
7562,FG,MS-5200,19,Y
7592,XP,JH-0900,20,Y
7652,XP,JH-0900,20,Y
7665,FG,JH-0900,32,N
7673,XP,PE-0100,20,Y
7694,XP,PE-0100,20,Y
7713,XP,JH-0900,20,Y
7776,FG,WR-0500,38,Y
7786,FG,TS-1100,40,Y
7798,XP,WR-0500,20,Y
7809,XP,WR-0500,20,Y
7815,XP,TS-1100,20,Y
7828,XP,WR-0500,20,Y
7835,FG,WR-0500,47,Y
7860,XP,WR-0500,20,Y
7870,XP,TS-1100,20,Y
7885,XP,WR-0500,20,Y
7891,XP,TS-1100,20,Y
7913,XP,PS-0900,20,Y
7928,FG,JN-0600,22,Y
7946,FG,JN-0600,20,Y
7964,FG,JN-0600,50,N
7982,XP,JN-0600,20,Y
7993,XP,PS-0900,20,Y
8000,FG,JN-0600,43,Y
8031,FG,PS-0900,42,Y
8090,FG,AV-0400,40,Y
8098,XP,OM-0100,20,Y
8130,FG,OM-0100,43,Y
8179,FG,AV-0400,53,N
8225,XP,DB-3900,20,Y
8250,XP,DA-0300,20,Y
8254,XP,DA-0300,20,Y
8319,XP,DA-0300,20,Y
8381,XP,PD-0200,20,Y
8390,XP,SJ-0300,20,Y
8409,XP,SJ-0300,20,Y
8427,FG,PD-0200,42,N
8442,XP,SJ-0300,20,Y
8446,XP,SJ-0300,20,Y
8477,FG,PD-0200,29,Y
8488,FG,SJ-0300,37,Y
8504,FG,SJ-0300,31,Y
8540,XP,AD-0800,20,Y
8550,FG,KB-2300,32,Y
8562,FG,AD-0800,24,Y
8576,FG,KB-2300,32,Y
8626,FG,AD-0800,40,Y
8644,XP,KB-2300,20,Y
8650,FG,AD-0800,40,Y
8665,XP,KB-2300,20,Y
8686,XP,AD-0800,20,Y
8693,FG,KB-2300,50,N
8707,FG,KH-1500,25,Y
8719,FG,JC-0900,41,Y
8725,FG,JC-0900,28,Y
8729,XP,KH-1500,20,Y
8762,FG,JC-0900,24,Y
8774,FG,KH-1500,26,Y
8779,FG,JC-0900,45,Y
8798,XP,KH-1500,20,Y
8835,FG,KH-1500,34,N
8873,FG,MG-1200,22,Y
8885,FG,JH-0500,41,Y
8900,XP,MG-1200,20,Y
8923,FG,JH-0500,27,Y
8957,XP,MG-1200,20,Y
9008,XP,JH-0500,20,Y
9054,XP,MH-3900,20,Y
9069,FG,MH-3900,25,Y
9098,XP,MH-3900,20,N
9133,FG,MH-3900,30,N
9187,XP,MV-0100,20,Y
9233,XP,SL-0600,20,Y
9243,XP,MV-0100,20,Y
9254,XP,MV-0100,20,Y
9263,XP,SL-0600,20,Y
9286,FG,MV-0100,41,Y
9310,FG,MV-0100,22,Y
9322,XP,MV-0100,20,Y
9331,XP,MV-0100,20,Y
9367,FG,SC-0700,19,Y
9386,FG,SC-0700,30,Y
9397,FG,SC-0700,27,Y
9408,XP,MV-0100,20,Y
9495,XP,SC-0700,20,Y
9504,FG,MV-0100,45,Y
9543,XP,RC-2900,20,Y
9578,FG,RC-2900,39,Y
9603,FG,TS-1100,27,Y
9616,FG,RC-2900,23,Y
9642,FG,TS-1100,45,N
9656,FG,TS-1100,24,Y
9671,XP,NR-0100,20,Y
9688,FG,NR-0100,23,Y
9696,FG,NR-0100,38,Y
9728,FG,OM-0100,40,Y
9732,XP,OM-0100,20,Y
9749,XP,OM-0100,20,Y
9760,XP,OM-0100,20,Y
9778,XP,OM-0100,20,Y
9792,FG,NR-0100,34,Y
9840,FG,MS-5200,45,Y
